id,activitydate,TotalTimeInBed
4388161847,5/11/2016,494
4445114986,4/12/2016,457
4445114986,4/13/2016,406
4445114986,4/14/2016,492
4445114986,4/15/2016,379
4445114986,4/16/2016,499
4445114986,4/17/2016,107
4445114986,4/19/2016,424
4445114986,4/20/2016,462
4445114986,4/21/2016,469
4445114986,4/22/2016,417
4445114986,4/25/2016,345
4445114986,4/26/2016,391
4445114986,4/27/2016,374
4445114986,4/28/2016,442
4445114986,4/29/2016,108
4445114986,4/30/2016,353
4445114986,5/1/2016,459
4445114986,5/2/2016,542
4445114986,5/3/2016,450
4445114986,5/4/2016,363
4445114986,5/5/2016,513
4445114986,5/6/2016,402
4445114986,5/7/2016,436
4445114986,5/8/2016,391
4445114986,5/9/2016,533
4445114986,5/10/2016,426
4445114986,5/11/2016,530
4445114986,5/12/2016,501
4558609924,4/21/2016,137
4558609924,4/26/2016,121
4558609924,4/29/2016,179
4558609924,5/1/2016,129
4558609924,5/8/2016,134
4702921684,4/12/2016,439
4702921684,4/13/2016,430
4702921684,4/14/2016,415
4702921684,4/15/2016,257
4702921684,4/16/2016,406
4702921684,4/17/2016,612
4702921684,4/18/2016,312
4702921684,4/19/2016,487
4702921684,4/20/2016,468
4702921684,4/21/2016,434
4702921684,4/23/2016,475
4702921684,4/24/2016,506
4702921684,4/25/2016,380
4702921684,4/26/2016,429
4702921684,4/27/2016,449
4702921684,4/28/2016,461
4702921684,4/29/2016,447
4702921684,4/30/2016,501
4702921684,5/3/2016,373
4702921684,5/4/2016,434
4702921684,5/5/2016,428
4702921684,5/6/2016,449
4702921684,5/7/2016,543
4702921684,5/9/2016,458
4702921684,5/10/2016,431
4702921684,5/11/2016,366
4702921684,5/12/2016,442
5553957443,4/12/2016,464
5553957443,4/13/2016,488
5553957443,4/14/2016,418
5553957443,4/15/2016,409
5553957443,4/16/2016,686
5553957443,4/17/2016,402
5553957443,4/18/2016,541
5553957443,4/19/2016,410
5553957443,4/20/2016,678
5553957443,4/21/2016,431
5553957443,4/22/2016,353
5553957443,4/23/2016,725
5553957443,4/24/2016,640
5553957443,4/25/2016,468
5553957443,4/26/2016,453
5553957443,4/27/2016,391
5553957443,4/28/2016,457
5553957443,4/29/2016,495
5553957443,4/30/2016,843
5553957443,5/1/2016,686
5553957443,5/2/2016,471
5553957443,5/3/2016,429
5553957443,5/4/2016,470
5553957443,5/5/2016,464
5553957443,5/6/2016,434
5553957443,5/7/2016,470
5553957443,5/8/2016,608
5553957443,5/9/2016,494
5553957443,5/10/2016,443
5553957443,5/11/2016,486
5553957443,5/12/2016,475
5577150313,4/12/2016,438
5577150313,4/13/2016,458
5577150313,4/14/2016,497
5577150313,4/15/2016,413
5577150313,4/16/2016,445
5577150313,4/17/2016,583
5577150313,4/18/2016,553
5577150313,4/19/2016,465
5577150313,4/20/2016,480
5577150313,4/21/2016,437
5577150313,4/22/2016,366
5577150313,4/23/2016,402
5577150313,4/24/2016,615
5577150313,4/25/2016,461
5577150313,4/26/2016,377
5577150313,4/27/2016,452
5577150313,4/28/2016,372
5577150313,4/29/2016,485
5577150313,4/30/2016,433
5577150313,5/1/2016,398
5577150313,5/2/2016,553
5577150313,5/3/2016,543
5577150313,5/4/2016,634
5577150313,5/5/2016,78
5577150313,5/10/2016,562
5577150313,5/11/2016,476
6117666160,4/16/2016,398
6117666160,4/17/2016,350
6117666160,4/18/2016,510
6117666160,4/19/2016,492
6117666160,4/20/2016,502
6117666160,4/21/2016,550
6117666160,4/22/2016,546
6117666160,4/23/2016,539
6117666160,4/24/2016,367
6117666160,4/27/2016,557
6117666160,4/28/2016,416
6117666160,4/29/2016,636
6117666160,5/1/2016,575
6117666160,5/5/2016,415
6117666160,5/6/2016,698
6117666160,5/7/2016,507
6117666160,5/8/2016,603
6117666160,5/9/2016,522
6775888955,4/13/2016,260
6775888955,4/14/2016,441
6775888955,4/15/2016,406
6962181067,4/12/2016,387
6962181067,4/13/2016,679
6962181067,4/14/2016,535
6962181067,4/15/2016,386
6962181067,4/16/2016,366
6962181067,4/17/2016,446
6962181067,4/18/2016,458
6962181067,4/19/2016,535
6962181067,4/20/2016,424
6962181067,4/21/2016,457
6962181067,4/22/2016,435
6962181067,4/23/2016,546
6962181067,4/24/2016,514
6962181067,4/25/2016,415
6962181067,4/26/2016,446
6962181067,4/27/2016,467
6962181067,4/28/2016,453
6962181067,4/29/2016,447
6962181067,4/30/2016,424
6962181067,5/1/2016,426
6962181067,5/2/2016,482
6962181067,5/3/2016,418
6962181067,5/4/2016,455
6962181067,5/5/2016,491
6962181067,5/6/2016,462
6962181067,5/7/2016,334
6962181067,5/8/2016,569
6962181067,5/9/2016,497
6962181067,5/10/2016,481
6962181067,5/11/2016,480
6962181067,5/12/2016,535
7007744171,4/16/2016,82
7007744171,5/1/2016,61
7086361926,4/12/2016,525
7086361926,4/13/2016,465
7086361926,4/14/2016,476
7086361926,4/15/2016,386
7086361926,4/19/2016,483
7086361926,4/20/2016,502
7086361926,4/21/2016,411
7086361926,4/22/2016,448
7086361926,4/24/2016,704
7086361926,4/25/2016,447
7086361926,4/26/2016,500
7086361926,4/27/2016,479
7086361926,4/28/2016,367
7086361926,4/30/2016,489
7086361926,5/1/2016,407
7086361926,5/2/2016,459
7086361926,5/3/2016,461
7086361926,5/4/2016,436
7086361926,5/6/2016,333
7086361926,5/7/2016,548
7086361926,5/8/2016,510
7086361926,5/9/2016,438
7086361926,5/11/2016,463
7086361926,5/12/2016,457
8053475328,4/20/2016,493
8053475328,4/23/2016,337
8053475328,5/7/2016,75
8378563200,4/12/2016,356
8378563200,4/13/2016,487
8378563200,4/14/2016,455
8378563200,4/15/2016,533
8378563200,4/16/2016,689
8378563200,4/17/2016,591
8378563200,4/18/2016,451
8378563200,4/19/2016,421
8378563200,4/20/2016,409
8378563200,4/21/2016,417
8378563200,4/22/2016,469
8378563200,4/23/2016,591
8378563200,4/24/2016,492
8378563200,4/25/2016,402
8378563200,4/26/2016,584
8378563200,4/27/2016,600
8378563200,4/28/2016,556
8378563200,4/29/2016,562
8378563200,4/30/2016,555
8378563200,5/1/2016,539
8378563200,5/2/2016,385
8378563200,5/3/2016,429
8378563200,5/4/2016,477
8378563200,5/5/2016,417
8378563200,5/6/2016,355
8378563200,5/7/2016,513
8378563200,5/8/2016,606
8378563200,5/9/2016,399
8378563200,5/10/2016,391
8378563200,5/11/2016,387
8378563200,5/12/2016,546
8792009665,4/12/2016,493
8792009665,4/13/2016,552
8792009665,4/14/2016,503
8792009665,4/15/2016,377
8792009665,4/20/2016,547
8792009665,4/22/2016,407
8792009665,4/23/2016,360
8792009665,4/27/2016,428
8792009665,4/28/2016,416
8792009665,4/29/2016,406
8792009665,4/30/2016,360
8792009665,5/1/2016,527
8792009665,5/2/2016,423
8792009665,5/3/2016,545
8792009665,5/4/2016,463
